fold,model,family,component_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
1,pls_32,pls,32,60,103,0.6245200399089306,0.6098814449736062,0.6168522934361071,0.5498907721045448,0.7000278147210517,0.09283440000217524,0.1309274999985064
1,pcr_8,pcr,8,60,103,0.510600388101772,0.4915204812051549,0.5081395478156716,0.6370763072707052,0.799196779743019,0.09283440000217524,0.013681899999937741
1,pcr_16,pcr,16,60,103,0.5327615014389881,0.5145455755691631,0.5280389392299065,0.6206430201699408,0.7808924516549244,0.09283440000217524,0.013250500000140164
1,pcr_24,pcr,24,60,103,0.5493549047128921,0.5317858951500418,0.5424879318323266,0.6089920256373985,0.7669008856622276,0.09283440000217524,0.013368899999477435
1,pcr_32,pcr,32,60,103,0.5511759915888375,0.5336779795650104,0.5420104725912898,0.6078200883693511,0.765349768228351,0.09283440000217524,0.015155399996729102
1,pcr_48,pcr,48,60,103,0.5901092600156947,0.5741291142073397,0.5774240533624087,0.578338448497338,0.7314017052131636,0.09283440000217524,0.015166900000622263
1,pcr_64,pcr,64,60,103,0.5979629650083539,0.5822890065291474,0.5812005088262917,0.5754467541308527,0.7243608099916571,0.09283440000217524,0.01497449999806122
1,pcr_80,pcr,80,60,103,0.6264092028776596,0.6118442595200635,0.6067335848593665,0.5488999472885664,0.6982645591492361,0.09283440000217524,0.02038860000175191
2,pls_2,pls,2,60,103,0.529461936963989,0.5111173731029359,0.5288726594899302,0.621593933803106,0.7792874267001529,0.1016855999987456,0.014463100000284612
2,pls_4,pls,4,60,103,0.5577235217325232,0.5404807740417833,0.5566143644202536,0.6062006363648536,0.7555221659082411,0.1016855999987456,0.021843700000317767
2,pls_6,pls,6,60,103,0.5935120588807237,0.5776645757961515,0.5919810308539091,0.5756178804214025,0.7243094012498924,0.1016855999987456,0.02724040000248351
2,pls_8,pls,8,60,103,0.6045610261528448,0.5891443020262501,0.6025726466488993,0.5701657297832782,0.7143976615162912,0.1016855999987456,0.03635470000153873
2,pls_12,pls,12,60,103,0.6092965461863495,0.5940644427238291,0.6063422667624279,0.5647504550835538,0.7101071969311559,0.1016855999987456,0.04897189999974216
2,pls_16,pls,16,60,103,0.6108355260153511,0.5956634217664369,0.6069020885019244,0.5634918231826842,0.7087072618388699,0.1016855999987456,0.06575960000191117
2,pls_24,pls,24,60,103,0.6111763422602041,0.5960175251943252,0.6052514103327405,0.5634997615446175,0.7083968637041744,0.1016855999987456,0.09570110000277054
2,pls_32,pls,32,60,103,0.6112323339579706,0.5960756998042853,0.6032932367573676,0.5634311511320892,0.7083458562997268,0.1016855999987456,0.12575310000102036
2,pcr_8,pcr,8,60,103,0.49367058804737873,0.47393064995955725,0.4911246199168816,0.6435022857319113,0.8083824322654901,0.1016855999987456,0.00922329999957583
2,pcr_16,pcr,16,60,103,0.505478201708645,0.48619859943607757,0.5004798765206087,0.6396497418974413,0.7989010813001054,0.1016855999987456,0.010770600001706043
2,pcr_24,pcr,24,60,103,0.5122048484758207,0.49318749364057013,0.5047717795002142,0.634094248837039,0.793449021127773,0.1016855999987456,0.010989999998855637
2,pcr_32,pcr,32,60,103,0.5135149697159049,0.49454869173211957,0.503580367948776,0.6333560080523468,0.792382781197292,0.1016855999987456,0.012887400000181515
2,pcr_48,pcr,48,60,103,0.5592093733183514,0.5420245535646808,0.545567883904606,0.6030217049548522,0.754251989554514,0.1016855999987456,0.014749900001334026
2,pcr_64,pcr,64,60,103,0.5674778609895073,0.5506153994296441,0.5494443646398841,0.5965223792064525,0.7471442527675801,0.1016855999987456,0.01602699999784818
2,pcr_80,pcr,80,60,103,0.608299909328347,0.5930289506276978,0.587670543131025,0.5649638400694336,0.7110123185101916,0.1016855999987456,0.016622499999357387
3,pls_2,pls,2,60,103,0.5281906595769623,0.5097965332446801,0.5275997900210161,0.6265330797335613,0.7888516005141187,0.08827780000137864,0.013187799999286653
3,pls_4,pls,4,60,103,0.5739672762035763,0.5573578132875365,0.5728988555796355,0.5951996989855327,0.74960680974976,0.08827780000137864,0.02107360000081826
3,pls_6,pls,6,60,103,0.5948958922253158,0.5791023597584666,0.5933700763768236,0.5784191034379887,0.730962954536193,0.08827780000137864,0.029401099996903213
3,pls_8,pls,8,60,103,0.604487872854799,0.5890682967477736,0.6024991255152883,0.5714802185403997,0.7222573098969985,0.08827780000137864,0.03755480000108946
3,pls_12,pls,12,60,103,0.6147964259857732,0.5997787427883374,0.6118837335546637,0.564721782651447,0.7127827778722232,0.08827780000137864,0.05171709999922314
3,pls_16,pls,16,60,103,0.6156451670804655,0.6006605732044602,0.6117603424899963,0.5639397624256157,0.711997087287021,0.08827780000137864,0.08447639999940293
3,pls_24,pls,24,60,103,0.6147777495776008,0.5997593382550901,0.6089076962378308,0.5646655679584106,0.7128000571261562,0.08827780000137864,0.10197710000284133
3,pls_32,pls,32,60,103,0.6151787872315232,0.6001760109052667,0.6073202812911331,0.5644070264031454,0.7124289283816574,0.08827780000137864,0.11427159999948344
3,pcr_8,pcr,8,60,103,0.4877183102278033,0.46774631452518356,0.48514241235339883,0.6527940669792167,0.821989860700168,0.08827780000137864,0.009483500001806533
3,pcr_16,pcr,16,60,103,0.5108257296791043,0.49175460802916693,0.5058814540473076,0.6367957947783692,0.8032372613852441,0.08827780000137864,0.009824600001593353
3,pcr_24,pcr,24,60,103,0.5259730501559368,0.5074924673160123,0.5187497823487892,0.6290662031049007,0.7907033166701509,0.08827780000137864,0.009670800001913449
3,pcr_32,pcr,32,60,103,0.5272499031869495,0.5088191001922887,0.5175957850644112,0.6284540300135588,0.7896376676345653,0.08827780000137864,0.009360100000776583
3,pcr_48,pcr,48,60,103,0.561340883860888,0.5442391639334372,0.547765359957163,0.5997075028912394,0.7606338058760687,0.08827780000137864,0.01024669999969774
3,pcr_64,pcr,64,60,103,0.5639835674437434,0.5469848761160141,0.5458043806791829,0.6007413225254047,0.7583391412789852,0.08827780000137864,0.011005499996826984
3,pcr_80,pcr,80,60,103,0.6159963015729777,0.6010253971508716,0.5957722753227066,0.5637830010013698,0.7116717838952491,0.08827780000137864,0.013713899999856949
4,pls_2,pls,2,60,103,0.5527816383988651,0.5353462246912185,0.5522215653098217,0.6089826663111615,0.7601314584862648,0.06835560000035912,0.010407600002508843
4,pls_4,pls,4,60,103,0.5933415672133647,0.5774874372801626,0.5923217341530848,0.579474136545127,0.7248427253729747,0.06835560000035912,0.01630930000101216
4,pls_6,pls,6,60,103,0.6206666892105801,0.6058778661778541,0.6192379385108082,0.5637583184568986,0.7000666419457847,0.06835560000035912,0.021193199998378986
4,pls_8,pls,8,60,103,0.626056819214624,0.6114781377025236,0.624176526665106,0.561084207802271,0.6950750542198489,0.06835560000035912,0.02951770000072429
4,pls_12,pls,12,60,103,0.63186848131922,0.6175163753277666,0.6290848781533918,0.5580657347273984,0.68965262653461,0.06835560000035912,0.040609799998492235
4,pls_16,pls,16,60,103,0.630379576882818,0.6159694239347797,0.626643678733813,0.5589216500161668,0.6910458659743209,0.06835560000035912,0.05457820000083302
4,pls_24,pls,24,60,103,0.6292391405247096,0.614784526120215,0.6235894512374671,0.5593690842983596,0.6921111302511243,0.06835560000035912,0.07485409999935655
4,pls_32,pls,32,60,103,0.6289455979174177,0.6144795393566933,0.6213682265921832,0.5596473820101915,0.6923850587196168,0.06835560000035912,0.0993382999986352
4,pcr_8,pcr,8,60,103,0.5084084045281717,0.4892430401822915,0.505936542325925,0.63840498532858,0.7969500789527476,0.06835560000035912,0.008143499999277992
4,pcr_16,pcr,16,60,103,0.5326286549288678,0.5144075498578685,0.5279047499881615,0.6202070111749071,0.7770696271392691,0.06835560000035912,0.007877100000769133
4,pcr_24,pcr,24,60,103,0.5447142129949598,0.5269642797783891,0.5377765248120259,0.6115610628670775,0.7669568660323292,0.06835560000035912,0.008184400001482572
4,pcr_32,pcr,32,60,103,0.5469120232977044,0.5292477746933264,0.5376594290064003,0.6098064205340087,0.7651034533641143,0.06835560000035912,0.008725299998332048
4,pcr_48,pcr,48,60,103,0.5842351659153187,0.5680260105903798,0.5713681691157928,0.5890183164842716,0.7329135821803475,0.06835560000035912,0.010222699998848839
4,pcr_64,pcr,64,60,103,0.5952764268507931,0.5794977300418571,0.5784019586543441,0.5814652473752969,0.7231162873864256,0.06835560000035912,0.011433499999839114
4,pcr_80,pcr,80,60,103,0.63106144302637,0.616677873553714,0.6116308409474429,0.55934942812332,0.6904081600122296,0.06835560000035912,0.012445399999705842
