fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
1,spline_k5_d3_a10p0,5,3,10.0,280,0.7755940004064978,0.604779530552491,0.7531453402156195,0.14872529999774997,0.01965849999760394
1,spline_k5_d3_a30p0,5,3,30.0,280,0.7724761664722557,0.6084052927166063,0.7583592873265348,0.14872529999774997,0.017593299999134615
1,spline_k6_d2_a3p0,6,2,3.0,280,0.7771647140294438,0.6026184636371461,0.7505049184740706,0.15314450000005309,0.02187640000192914
1,spline_k6_d2_a10p0,6,2,10.0,280,0.7740572004396946,0.6060905543132563,0.7557198232476042,0.15314450000005309,0.021467000002303394
1,spline_k6_d2_a30p0,6,2,30.0,280,0.7669237340733475,0.6148097393197663,0.7675569127531044,0.15314450000005309,0.023511899998993613
1,spline_k6_d3_a3p0,6,3,3.0,316,0.777389340148936,0.6029277470829504,0.7501265548934369,0.16126749999966705,0.021912300002441043
1,spline_k6_d3_a10p0,6,3,10.0,316,0.7753274574831646,0.6052914861222807,0.7535924895487014,0.16126749999966705,0.022211699997569667
1,spline_k6_d3_a30p0,6,3,30.0,316,0.7729662824019967,0.6081846586725466,0.7575420447080323,0.16126749999966705,0.020417699997778982
1,spline_k7_d2_a3p0,7,2,3.0,316,0.776317686337668,0.6037713781836004,0.7519299519848145,0.13657729999977164,0.02483100000245031
1,spline_k7_d2_a10p0,7,2,10.0,316,0.7733678027219458,0.6068246920500442,0.7568718730465385,0.13657729999977164,0.02157000000079279
1,spline_k7_d2_a30p0,7,2,30.0,316,0.7661879316051128,0.6149801953906401,0.7687675148657095,0.13657729999977164,0.02479699999821605
1,spline_k7_d3_a3p0,7,3,3.0,352,0.7765284408634116,0.6045931983124987,0.7515756325398839,0.17400740000084625,0.025941099996998673
1,spline_k7_d3_a10p0,7,3,10.0,352,0.7754804538029169,0.6054820893742208,0.7533358571372535,0.17400740000084625,0.02412499999991269
1,spline_k7_d3_a30p0,7,3,30.0,352,0.7741090832003615,0.6070970908803655,0.7556330511045762,0.17400740000084625,0.02983669999957783
2,spline_k4_d2_a3p0,4,2,3.0,208,0.7892852951503319,0.5733327813172658,0.7202461375517751,0.12833210000098916,0.018240099998365622
2,spline_k4_d2_a10p0,4,2,10.0,208,0.7883262194247911,0.5744787760765958,0.7218833900497024,0.12833210000098916,0.01746169999751146
2,spline_k4_d2_a30p0,4,2,30.0,208,0.7840188377331313,0.5808576714260645,0.729191257058373,0.12833210000098916,0.0191116999994847
2,spline_k4_d3_a3p0,4,3,3.0,244,0.788026313749636,0.5763321868526288,0.7223946019115403,0.1404538999995566,0.024529000002075918
2,spline_k4_d3_a10p0,4,3,10.0,244,0.7870282890017473,0.5782231857682586,0.7240932114686222,0.1404538999995566,0.0231686000006448
2,spline_k4_d3_a30p0,4,3,30.0,244,0.7846001545106343,0.5814334791660234,0.728209280854482,0.1404538999995566,0.02004049999959534
2,spline_k5_d2_a3p0,5,2,3.0,244,0.7869701294909415,0.577119425801224,0.7241920744397761,0.10997090000091703,0.021967899996525375
2,spline_k5_d2_a10p0,5,2,10.0,244,0.7864986132592526,0.5783049455773243,0.724993087875371,0.10997090000091703,0.021769599999970524
2,spline_k5_d2_a30p0,5,2,30.0,244,0.7827743340870318,0.5843724936987441,0.7312890735380401,0.10997090000091703,0.023073599997587735
2,spline_k5_d3_a3p0,5,3,3.0,280,0.7878890213181571,0.5763871128132573,0.7226285065509995,0.1438618000029237,0.020538299999316223
2,spline_k5_d3_a10p0,5,3,10.0,280,0.7867010009999669,0.5785783938118356,0.7246493793290856,0.1438618000029237,0.019901700001355493
2,spline_k5_d3_a30p0,5,3,30.0,280,0.7842830983875907,0.5813801574201473,0.7287450247674221,0.1438618000029237,0.018878599999879953
2,spline_k6_d2_a3p0,6,2,3.0,280,0.7873940189004447,0.5764015697816822,0.7234712125977358,0.13900130000183708,0.019564999998692656
2,spline_k6_d2_a10p0,6,2,10.0,280,0.7868969751603102,0.5776661190644807,0.7243164073302134,0.13900130000183708,0.017977700001210906
2,spline_k6_d2_a30p0,6,2,30.0,280,0.7829461148263899,0.5834739377309751,0.7309998668685858,0.13900130000183708,0.01935790000061388
2,spline_k6_d3_a3p0,6,3,3.0,316,0.7856511054869136,0.578525648545207,0.7264306165284874,0.1447604000022693,0.024109099998895545
2,spline_k6_d3_a10p0,6,3,10.0,316,0.7842934813447167,0.5806410100665353,0.7287274864583183,0.1447604000022693,0.024037999999563908
2,spline_k6_d3_a30p0,6,3,30.0,316,0.7823463476741208,0.5834094481965875,0.7320091260593292,0.1447604000022693,0.023948400001245318
2,spline_k7_d2_a3p0,7,2,3.0,316,0.7861810700592196,0.57814905843833,0.7255320330579839,0.14103950000207988,0.021730899999965914
2,spline_k7_d2_a10p0,7,2,10.0,316,0.7850305655841192,0.5798417265574947,0.7274813646679387,0.14103950000207988,0.02122139999846695
2,spline_k7_d2_a30p0,7,2,30.0,316,0.7802427675126946,0.5867644865427714,0.7355379829551423,0.14103950000207988,0.02125299999897834
2,spline_k7_d3_a3p0,7,3,3.0,352,0.7832349240157692,0.5793918912694204,0.7305133753371977,0.14271800000278745,0.024720500001421897
2,spline_k7_d3_a10p0,7,3,10.0,352,0.7820934369140988,0.5807394315488452,0.7324342952056322,0.14271800000278745,0.023174899997684406
2,spline_k7_d3_a30p0,7,3,30.0,352,0.7807809980768936,0.5827066538424965,0.7346366890142277,0.14271800000278745,0.026015899999038083
3,spline_k4_d2_a3p0,4,2,3.0,208,0.7986771174926898,0.5728183375455334,0.7170111894715686,0.1380425000024843,0.01753379999718163
3,spline_k4_d2_a10p0,4,2,10.0,208,0.7993433219710634,0.5718205139559654,0.7158238632017252,0.1380425000024843,0.016404500001954148
3,spline_k4_d2_a30p0,4,2,30.0,208,0.7977615078403311,0.5746285533352412,0.718639811148119,0.1380425000024843,0.016063800001575146
3,spline_k4_d3_a3p0,4,3,3.0,244,0.7966752639715422,0.574694000086574,0.7205671709964776,0.14229299999715295,0.023783900000125868
3,spline_k4_d3_a10p0,4,3,10.0,244,0.7961206655063704,0.5747902462759736,0.7215492288524146,0.14229299999715295,0.020704800001112744
3,spline_k4_d3_a30p0,4,3,30.0,244,0.794853969671525,0.5773931321493059,0.7237872392928831,0.14229299999715295,0.020632399999158224
3,spline_k5_d2_a3p0,5,2,3.0,244,0.796814369569533,0.5753308817554676,0.72032063907151,0.13569160000042757,0.023246900000231108
3,spline_k5_d2_a10p0,5,2,10.0,244,0.7969628143458014,0.57427878030948,0.7200574625539565,0.13569160000042757,0.02264360000117449
3,spline_k5_d2_a30p0,5,2,30.0,244,0.7947275830279736,0.57748794585965,0.7240101608738831,0.13569160000042757,0.021377799999754643
3,spline_k5_d3_a3p0,5,3,3.0,280,0.7961254619004088,0.5756906636758444,0.7215407413448821,0.1453287000003911,0.02101760000005015
3,spline_k5_d3_a10p0,5,3,10.0,280,0.7953606507781863,0.5756365416590993,0.722892861660988,0.1453287000003911,0.021409299999504583
3,spline_k5_d3_a30p0,5,3,30.0,280,0.7940564778468013,0.5779503821304397,0.7251927125602218,0.1453287000003911,0.022245600001042476
