left,right,correlation,abs_correlation
Fast_Food_Meals_Per_Week,Blood_Sugar_Level,0.31979153127006404,0.31979153127006404
Protein_Intake_Grams,Health_Score,0.3185973739069782,0.3185973739069782
Protein_Intake_Grams,Energy_Level_Score,0.31793918796847914,0.31793918796847914
Resting_Heart_Rate,Healthy_Aging_Score,-0.3176779083733857,0.3176779083733857
Water_Intake_Liters,Immune_Health_Score,0.31482440302167225,0.31482440302167225
Water_Intake_Liters,Healthy_Aging_Score,0.3126790915857682,0.3126790915857682
Exercise_Frequency_Per_Week,Mood_Score,0.31152798891931377,0.31152798891931377
Resting_Heart_Rate,Immune_Health_Score,-0.3071003254993309,0.3071003254993309
Blood_Sugar_Level,Healthy_Aging_Score,-0.3036508682934426,0.3036508682934426
Daily_Steps,Productivity_Score,0.3012457034992876,0.3012457034992876
Daily_Steps,Fatigue_Level_Score,-0.2976178265564598,0.2976178265564598
Exercise_Frequency_Per_Week,Focus_Concentration_Score,0.2956022258482943,0.2956022258482943
Social_Interaction_Score,Mood_Score,0.2903985022792811,0.2903985022792811
Depression_Risk_Score,Focus_Concentration_Score,-0.29011004610776064,0.29011004610776064
Daily_Calorie_Intake,Water_Intake_Liters,0.28893531625539043,0.28893531625539043
Fast_Food_Meals_Per_Week,Cholesterol_Level,0.2875607025604763,0.2875607025604763
Daily_Steps,Life_Satisfaction_Score,0.28679725873777967,0.28679725873777967
Daily_Calorie_Intake,Protein_Intake_Grams,0.2856424766285748,0.2856424766285748
Exercise_Frequency_Per_Week,Exercise_Duration_Minutes,0.2831773208963674,0.2831773208963674
Sugary_Drinks_Per_Week,Blood_Sugar_Level,0.279261039651352,0.279261039651352
Protein_Intake_Grams,Healthy_Aging_Score,0.27773309677114894,0.27773309677114894
Resting_Heart_Rate,Health_Score,-0.2747734061512739,0.2747734061512739
Daily_Calorie_Intake,Energy_Level_Score,0.2735504850417575,0.2735504850417575
Systolic_BP,Health_Score,-0.2732833888393299,0.2732833888393299
Water_Intake_Liters,Outdoor_Time_Hours,0.2725826400769238,0.2725826400769238
Protein_Intake_Grams,Outdoor_Time_Hours,0.27133165778596074,0.27133165778596074
Weight_kg,Daily_Calorie_Intake,0.2705114131365044,0.2705114131365044
Systolic_BP,Cholesterol_Level,0.2697992191514982,0.2697992191514982
BMI,Systolic_BP,0.26656114446556256,0.26656114446556256
Focus_Concentration_Score,Life_Satisfaction_Score,0.266107987019708,0.266107987019708
