contract,fold,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,fit_seconds
competition_proxy_inclusive,0,elastic_net,elastic_a0p003_l1_0p3,0.003,0.3,60,62,105,0.9786054680972076,1.418528537597593,1.7791436782975434,0.03933690000008028
competition_proxy_inclusive,0,elastic_net,elastic_a0p003_l1_0p5,0.003,0.5,60,62,105,0.9787746091892894,1.4133778195977758,1.7720969376787468,0.03236339999989468
competition_proxy_inclusive,0,elastic_net,elastic_a0p003_l1_0p7,0.003,0.7,60,62,105,0.9789241992975866,1.408199731110975,1.7658412957078873,0.02782999999999447
competition_proxy_inclusive,0,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,60,62,105,0.9790459098768605,1.4043598063758045,1.7607351373058369,0.026387300000124014
competition_proxy_inclusive,0,elastic_net,elastic_a0p01_l1_0p1,0.01,0.1,60,62,105,0.9762291262940521,1.4953646285068498,1.8753494252879435,0.02564429999983986
competition_proxy_inclusive,0,elastic_net,elastic_a0p01_l1_0p3,0.01,0.3,60,62,105,0.9768187461532672,1.4768887532618529,1.85194501754098,0.021665600000005725
competition_proxy_inclusive,0,elastic_net,elastic_a0p01_l1_0p5,0.01,0.5,60,62,105,0.9774372747797144,1.4568295543843237,1.827070916726329,0.026218700000072204
competition_proxy_inclusive,0,elastic_net,elastic_a0p01_l1_0p7,0.01,0.7,60,62,105,0.9780436399505869,1.437086342628969,1.8023527741562497,0.019438300000047093
competition_proxy_inclusive,0,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,60,62,105,0.9786172773840683,1.416724218245753,1.7786525874366725,0.016466900000068563
competition_proxy_inclusive,1,ridge,ridge_a0p01,0.01,,60,62,105,0.9797567801375857,1.3586804013608031,1.7363740522247917,0.007251400000086505
competition_proxy_inclusive,1,ridge,ridge_a0p1,0.1,,60,62,105,0.9797563411091819,1.3586924755863727,1.736392881082073,0.0056931000001441134
competition_proxy_inclusive,1,ridge,ridge_a0p3,0.3,,60,62,105,0.9797552367267959,1.3587193029511877,1.736440244445834,0.006821899999977177
competition_proxy_inclusive,1,ridge,ridge_a1,1.0,,60,62,105,0.97975001175266,1.358813257268869,1.7366643090573863,0.00794169999994665
competition_proxy_inclusive,1,ridge,ridge_a3,3.0,,60,62,105,0.9797243699604995,1.359335301434364,1.7377634972791776,0.006541900000001988
competition_proxy_inclusive,1,ridge,ridge_a10,10.0,,60,62,105,0.9795402020719888,1.3653311136821162,1.7456378954334806,0.008062899999913498
competition_proxy_inclusive,1,ridge,ridge_a30,30.0,,60,62,105,0.978649459176032,1.3923262994393835,1.7832323390081541,0.007360299999845665
competition_proxy_inclusive,1,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,60,62,105,0.9797536661217874,1.3587401897725329,1.7365076003544782,0.27683390000015606
competition_proxy_inclusive,1,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,60,62,105,0.9797549585877565,1.358687726336126,1.7364521727197306,0.23171720000004825
competition_proxy_inclusive,1,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,60,62,105,0.9797561911881616,1.3586363197174882,1.7363993107821492,0.21674730000017917
competition_proxy_inclusive,1,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,60,62,105,0.9797573051055047,1.3585872368249923,1.736351537363298,0.21140680000007706
competition_proxy_inclusive,1,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,60,62,105,0.9797583216447807,1.358539060443539,1.736307939124431,0.1997086000001218
competition_proxy_inclusive,1,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,60,62,105,0.9797428512112235,1.3589234184443564,1.7369713304114704,0.24111130000005687
competition_proxy_inclusive,1,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,60,62,105,0.9797479352218917,1.3587671202319667,1.7367533497121819,0.18480159999990065
competition_proxy_inclusive,1,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,60,62,105,0.9797518842731099,1.358630741868224,1.7365840123536571,0.18872929999997723
competition_proxy_inclusive,1,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,60,62,105,0.9797550087291164,1.3584942466828769,1.7364500223628727,0.21871949999990647
competition_proxy_inclusive,1,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,60,62,105,0.9797575626591263,1.3583555172126358,1.7363404912784886,0.1472375999999258
competition_proxy_inclusive,1,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,60,62,105,0.9796659309253666,1.3610332412081356,1.7402660126681724,0.1727325000001656
competition_proxy_inclusive,1,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,60,62,105,0.9796937535734035,1.3599374387624588,1.7390750217623427,0.10609020000015335
competition_proxy_inclusive,1,elastic_net,elastic_a0p001_l1_0p5,0.001,0.5,60,62,105,0.9797204185063618,1.3589630579301004,1.7379328226768063,0.07944780000002538
competition_proxy_inclusive,1,elastic_net,elastic_a0p001_l1_0p7,0.001,0.7,60,62,105,0.9797397447001994,1.3583987752933466,1.7371045108947487,0.0497494999999617
competition_proxy_inclusive,1,elastic_net,elastic_a0p001_l1_0p9,0.001,0.9,60,62,105,0.9797545340176448,1.3579961354113277,1.736470380680208,0.02911779999999453
competition_proxy_inclusive,1,elastic_net,elastic_a0p003_l1_0p1,0.003,0.1,60,62,105,0.979242578894117,1.3744849356513351,1.758288717006709,0.056595000000015716
competition_proxy_inclusive,1,elastic_net,elastic_a0p003_l1_0p3,0.003,0.3,60,62,105,0.9793871306451435,1.3698375018213462,1.7521557838964525,0.0347150000000056
competition_proxy_inclusive,1,elastic_net,elastic_a0p003_l1_0p5,0.003,0.5,60,62,105,0.9795219079070762,1.3651944700370846,1.7464181536783883,0.040351200000031895
competition_proxy_inclusive,1,elastic_net,elastic_a0p003_l1_0p7,0.003,0.7,60,62,105,0.9796341154819554,1.3613150671829084,1.7416269231214654,0.03344040000001769
competition_proxy_inclusive,1,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,60,62,105,0.9797221198507889,1.358100643513098,1.737859919684668,0.024082399999997506
competition_proxy_inclusive,1,elastic_net,elastic_a0p01_l1_0p1,0.01,0.1,60,62,105,0.9772307108338648,1.435329775116297,1.8415275800790256,0.037491399999908026
competition_proxy_inclusive,1,elastic_net,elastic_a0p01_l1_0p3,0.01,0.3,60,62,105,0.97772359305893,1.4200295522353827,1.8214869441615409,0.02058050000005096
competition_proxy_inclusive,1,elastic_net,elastic_a0p01_l1_0p5,0.01,0.5,60,62,105,0.9782453685812234,1.402900570839918,1.800028395024032,0.0243399999999383
competition_proxy_inclusive,1,elastic_net,elastic_a0p01_l1_0p7,0.01,0.7,60,62,105,0.9787474961454852,1.3869851179687813,1.7791335237913635,0.018093900000167196
competition_proxy_inclusive,1,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,60,62,105,0.979197431396406,1.3728178882812176,1.7601998219087083,0.01591880000000856
competition_proxy_inclusive,2,ridge,ridge_a0p01,0.01,,60,62,105,0.9810813413556015,1.3398981839516053,1.6902711127149168,0.005937200000062148
competition_proxy_inclusive,2,ridge,ridge_a0p1,0.1,,60,62,105,0.9810841032316306,1.3398065548094626,1.6901477295050542,0.005376999999953114
competition_proxy_inclusive,2,ridge,ridge_a0p3,0.3,,60,62,105,0.9810900634371019,1.3396078824764175,1.6898814344010662,0.005996299999878829
competition_proxy_inclusive,2,ridge,ridge_a1,1.0,,60,62,105,0.9811090647273716,1.3389670646889238,1.6890321983957715,0.0060429000000112865
competition_proxy_inclusive,2,ridge,ridge_a3,3.0,,60,62,105,0.9811488606679283,1.3377186725900299,1.6872521895918047,0.005544700000200464
competition_proxy_inclusive,2,ridge,ridge_a10,10.0,,60,62,105,0.9811596454967114,1.3380354343798104,1.6867694779367712,0.0059326999999029795
competition_proxy_inclusive,2,ridge,ridge_a30,30.0,,60,62,105,0.9806396049694535,1.355846373391576,1.709890525654998,0.005918599999858998
competition_proxy_inclusive,2,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,60,62,105,0.9810987027460574,1.3393265938237318,1.6894953655309788,0.3459464999998545
competition_proxy_inclusive,2,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,60,62,105,0.9810967622922412,1.3394117799943541,1.6895820871868488,0.2884352000000945
