fold,model,family,gamma,kernel_components,ridge_alpha,engineered_feature_count,preprocessed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,preprocess_seconds,kernel_map_seconds,fit_seconds
4,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.5761659572537263,0.5596422128971466,0.37653115515060576,0.5951669616301163,0.7399916371567717,0.07100960000025225,0.04878950000056648,0.02972859999863431
4,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5551285667567689,0.537784651230717,0.47032805528225874,0.602123207744646,0.7581343124709002,0.07100960000025225,0.026306299998395843,0.014737500001501758
4,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.551163607017553,0.5336651121644361,0.4656073027707127,0.6052355535527042,0.7615052908362129,0.07100960000025225,0.026306299998395843,0.014286099998571444
4,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5784073063347424,0.5619709440086115,0.3798282270738299,0.5933311383695833,0.7380324055000961,0.07100960000025225,0.050539600000774954,0.03149259999918286
4,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.569765659224151,0.552992390577919,0.3671161813242111,0.5992111930718877,0.7455579911126831,0.07100960000025225,0.050539600000774954,0.034643000002688495
4,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.6083622928877374,0.5930937662946667,0.5742836888698111,0.5720840111542504,0.7113300290187298,0.07100960000025225,0.028185099999973318,0.008646399997815024
4,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5435453829286394,0.5257498812884305,0.5038266942915666,0.6152352134440435,0.7679407180005142,0.07100960000025225,0.028185099999973318,0.009888600001431769
4,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.614258037486487,0.5992193644840108,0.5407286686082596,0.5687645932156259,0.7059555163543316,0.07100960000025225,0.059595099999569356,0.018006599999353057
4,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5462117422698294,0.5285201922608558,0.4597115233726412,0.6135393832212539,0.7656944871095822,0.07100960000025225,0.059595099999569356,0.014404199999262346
4,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.6111087720388895,0.5959473206563901,0.5772691546500233,0.5696585517241666,0.7088314311194598,0.07100960000025225,0.02612589999989723,0.008566000000428176
4,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.569703137091281,0.5529274309349956,0.5322605820591151,0.5981410250836242,0.7456121618029244,0.07100960000025225,0.02612589999989723,0.008162699999957113
4,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.6202339569991915,0.6054282633149495,0.5478437060623285,0.5653240490031912,0.7004658357814925,0.07100960000025225,0.047686599998996826,0.013809500000206754
4,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5760937082327062,0.5595671471501606,0.4952895305019339,0.5938758592111896,0.7400547059380918,0.07100960000025225,0.047686599998996826,0.012984299999516224
4,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5924647453527461,0.5765764313314106,0.5570028061312311,0.581078916074014,0.725623744126206,0.07100960000025225,0.023960500002431218,0.008784499998000683
