contract,fold,model,source_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
competition_proxy_inclusive,3,ordinary_least_squares,60,62,105,0.9787062452926119,1.4553311274236806,1.8300904818833967,0.10503579999999602,0.03995900000018082
competition_proxy_inclusive,3,ridge_fixed,60,62,105,0.9785359690317692,1.4621667992194591,1.8373931035899267,0.10503579999999602,0.012247099999967759
competition_proxy_inclusive,3,elastic_net_fixed,60,62,105,0.978708670441432,1.4546066992875104,1.8299862642804186,0.10503579999999602,0.11658570000008694
competition_proxy_inclusive,3,pls_16,60,62,105,0.9771825151676873,1.5093083880890046,1.8944376840870267,0.10503579999999602,0.06136639999999716
competition_proxy_inclusive,3,extra_trees_fixed,60,62,105,0.9671299313185802,1.7727205729166655,2.273771112469555,0.10503579999999602,3.028378900000007
competition_proxy_inclusive,4,dummy_mean,60,62,105,-0.0004549235111157568,9.6360630859375,12.027185985080907,0.1100851999999577,0.0019903999998405197
competition_proxy_inclusive,4,ordinary_least_squares,60,62,105,0.9794616654518673,1.362382012378027,1.723248367737673,0.1100851999999577,0.04004330000020673
competition_proxy_inclusive,4,ridge_fixed,60,62,105,0.9792871563597556,1.3690991417969807,1.7305538874706625,0.1100851999999577,0.009225799999967421
competition_proxy_inclusive,4,elastic_net_fixed,60,62,105,0.9794695743267056,1.3619296381205857,1.7229165426831266,0.1100851999999577,0.1563280999998824
competition_proxy_inclusive,4,pls_16,60,62,105,0.9782085616823283,1.4099660006638584,1.77504027731363,0.1100851999999577,0.05680559999996149
competition_proxy_inclusive,4,extra_trees_fixed,60,62,105,0.9682663118412633,1.7053434375000007,2.142029949423038,0.1100851999999577,2.743703699999969
scientific_proxy_removed,0,dummy_mean,59,61,104,-6.339177893721626e-08,9.891041328125,12.163530295036933,0.09280140000009851,0.002798900000016147
scientific_proxy_removed,0,ordinary_least_squares,59,61,104,0.9239670786907411,2.6697909418042967,3.3539799798266294,0.09280140000009851,0.03718030000004546
scientific_proxy_removed,0,ridge_fixed,59,61,104,0.9242375810907368,2.6661792843613283,3.348008434891256,0.09280140000009851,0.00945969999997942
scientific_proxy_removed,0,elastic_net_fixed,59,61,104,0.9242141283196922,2.665588670849773,3.3485265941629923,0.09280140000009851,0.21078529999999773
scientific_proxy_removed,0,pls_16,59,61,104,0.9236624017793262,2.676457560748426,3.3606932467732182,0.09280140000009851,0.06069800000000214
scientific_proxy_removed,0,extra_trees_fixed,59,61,104,0.8475998388690733,3.792538541666669,4.748455151112264,0.09280140000009851,2.655683100000033
scientific_proxy_removed,1,dummy_mean,59,61,104,-0.000509839230308895,9.911248046875,12.207146966051537,0.10497559999998884,0.0024396000001161156
scientific_proxy_removed,1,ordinary_least_squares,59,61,104,0.9281490946059067,2.5749153527666966,3.2712942763624,0.10497559999998884,0.038062700000182303
scientific_proxy_removed,1,ridge_fixed,59,61,104,0.9279714567208885,2.5780335271929253,3.2753356107608718,0.10497559999998884,0.009451799999851573
scientific_proxy_removed,1,elastic_net_fixed,59,61,104,0.9280918295296556,2.5761716600897,3.272597625320859,0.10497559999998884,0.232037900000023
scientific_proxy_removed,1,pls_16,59,61,104,0.9274328604774646,2.5863247732222687,3.287558528907161,0.10497559999998884,0.05618939999999384
scientific_proxy_removed,1,extra_trees_fixed,59,61,104,0.848499094527236,3.7589563541666666,4.750191361114066,0.10497559999998884,2.75112409999997
scientific_proxy_removed,2,dummy_mean,59,61,104,-0.0006914499090349135,9.825007890624999,12.293096569451862,0.10707600000000639,0.0016052999999374151
scientific_proxy_removed,2,ordinary_least_squares,59,61,104,0.9289266119414774,2.591819696618037,3.2761570167170446,0.10707600000000639,0.03662090000011631
scientific_proxy_removed,2,ridge_fixed,59,61,104,0.9289128590716512,2.5959498105767373,3.2764739734767034,0.10707600000000639,0.008104400000092937
scientific_proxy_removed,2,elastic_net_fixed,59,61,104,0.9289991471216633,2.5926193276846847,3.2744848204982757,0.10707600000000639,0.2688554999999724
scientific_proxy_removed,2,pls_16,59,61,104,0.9292232261523816,2.590958447042591,3.269313592304061,0.10707600000000639,0.05430300000011812
scientific_proxy_removed,2,extra_trees_fixed,59,61,104,0.844776350711304,3.8356005468749994,4.8416137913278545,0.10707600000000639,2.605352400000129
scientific_proxy_removed,3,dummy_mean,59,61,104,-0.0007580405152824987,10.08329630859375,12.546164655103906,0.10154949999991914,0.002341999999998734
scientific_proxy_removed,3,ordinary_least_squares,59,61,104,0.9276609289403215,2.685187962068418,3.3731286285075486,0.10154949999991914,0.036512899999934234
scientific_proxy_removed,3,ridge_fixed,59,61,104,0.9275348112976152,2.6877729098301755,3.376067744040083,0.10154949999991914,0.00924059999988458
scientific_proxy_removed,3,elastic_net_fixed,59,61,104,0.9276125515872384,2.6861836977998985,3.3742563438547535,0.10154949999991914,0.15991619999999784
scientific_proxy_removed,3,pls_16,59,61,104,0.9266018744583676,2.7043378391628075,3.397730458029592,0.10154949999991914,0.054231699999945704
scientific_proxy_removed,3,extra_trees_fixed,59,61,104,0.8523268699560076,3.803352500000001,4.819446670250798,0.10154949999991914,2.935884499999929
scientific_proxy_removed,4,dummy_mean,59,61,104,-0.0004549235111157568,9.6360630859375,12.027185985080907,0.11154269999997268,0.003161500000032902
scientific_proxy_removed,4,ordinary_least_squares,59,61,104,0.9282752451567909,2.5685770390471845,3.2203257163093,0.11154269999997268,0.039426099999900543
scientific_proxy_removed,4,ridge_fixed,59,61,104,0.9284092390227116,2.567636911563958,3.2173162559628414,0.11154269999997268,0.009052200000041921
scientific_proxy_removed,4,elastic_net_fixed,59,61,104,0.9284554830163196,2.565609047251886,3.216276976700839,0.11154269999997268,0.23024209999994127
scientific_proxy_removed,4,pls_16,59,61,104,0.9278009475313851,2.57889460620951,3.2309557706931704,0.11154269999997268,0.07082730000001902
scientific_proxy_removed,4,extra_trees_fixed,59,61,104,0.8434659117715338,3.799456770833333,4.757400653348198,0.11154269999997268,3.0722991000000093
