contract,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_fixed_elastic_r2,total_fit_seconds
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p1,0.003,0.1,60,62,105,0.9792044665086962,0.0010955867722962332,0.9792081228875115,1.3984841612485956,1.7660237761413322,0.9796213695740751,-0.0004132466865636175,0.5239719999999579
competition_proxy_inclusive,elastic_net,elastic_a0p01_l1_0p7,0.01,0.7,60,62,105,0.9788300224808675,0.0010874635046523085,0.9788366008783289,1.4101166516916608,1.7817321131409911,0.9796213695740751,-0.0007847686957461741,0.09713310000029196
competition_proxy_inclusive,ridge,ridge_a30,30.0,,60,62,105,0.9786537997173091,0.0011795634840520764,0.9786587657118241,1.4173005344977754,1.7892023635042953,0.9796213695740751,-0.0009626038622509991,0.03847569999993539
competition_proxy_inclusive,elastic_net,elastic_a0p01_l1_0p5,0.01,0.5,60,62,105,0.9783326409187412,0.0011646388423723864,0.9783394361602317,1.4273334940239657,1.802538606356857,0.9796213695740751,-0.0012819334138434169,0.12647889999993822
competition_proxy_inclusive,elastic_net,elastic_a0p01_l1_0p3,0.01,0.3,60,62,105,0.9778270989801904,0.0012300083106030102,0.9778342128171762,1.4448072185996617,1.8234391539612618,0.9796213695740751,-0.0017871567568988889,0.11972170000012738
competition_proxy_inclusive,elastic_net,elastic_a0p01_l1_0p1,0.01,0.1,60,62,105,0.9773370243668766,0.0012780109627885264,0.977344613185787,1.4614333493433664,1.8434672951666562,0.9796213695740751,-0.0022767563882880593,0.15698629999997138
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,59,61,104,0.927645129349488,0.0016283823273081444,0.9276701162922294,2.61493418772486,3.2938861173254437,0.9275015979762417,0.00016851831598774236,0.1573332999998911
scientific_proxy_removed,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,59,61,104,0.9276361602874628,0.0017987309268670678,0.927662656079972,2.6146897681051016,3.2940559811129506,0.9275015979762417,0.00016105810373034934,0.27828569999974206
scientific_proxy_removed,elastic_net,elastic_a0p003_l1_0p7,0.003,0.7,59,61,104,0.9275838149718639,0.001789965792976137,0.9276102246732538,2.6162667188626045,3.295249560353556,0.9275015979762417,0.00010862669701217076,0.26405659999977615
scientific_proxy_removed,elastic_net,elastic_a0p003_l1_0p5,0.003,0.5,59,61,104,0.9275199473250717,0.0017822374050369104,0.9275462345072693,2.6178178076228322,3.296705684418432,0.9275015979762417,4.463653102759757e-05,0.26571089999970354
scientific_proxy_removed,elastic_net,elastic_a0p001_l1_0p9,0.001,0.9,59,61,104,0.9274985666239808,0.001894501486221241,0.9275257221858976,2.6166433864671026,3.297172315107024,0.9275015979762417,2.4124209655917994e-05,0.662909200000513
scientific_proxy_removed,elastic_net,elastic_a0p001_l1_0p7,0.001,0.7,59,61,104,0.9274869732181259,0.001893363724855328,0.9275139486316056,2.6169403295101676,3.2974401195059895,0.9275015979762417,1.2350655363979612e-05,0.7720802999999705
scientific_proxy_removed,elastic_net,elastic_a0p001_l1_0p5,0.001,0.5,59,61,104,0.9274746279149138,0.001891894151688314,0.9275015979762417,2.6172344807351884,3.2977210274262467,0.9275015979762417,0.0,0.8129308000002311
scientific_proxy_removed,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,59,61,104,0.9274608897160757,0.0018901197814604367,0.9274878272734708,2.6175752358236712,3.2980342052245524,0.9275015979762417,-1.3770702770865562e-05,0.9057958000000781
scientific_proxy_removed,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,59,61,104,0.9274415487161448,0.0018881808716759887,0.9274686229799005,2.6179917223569884,3.2984709058619397,0.9275015979762417,-3.297499634113965e-05,1.2452508000001217
scientific_proxy_removed,elastic_net,elastic_a0p003_l1_0p3,0.003,0.3,59,61,104,0.9274377625456591,0.0017727006053164852,0.9274636689474873,2.619591937669263,3.298583549888818,0.9275015979762417,-3.7929028754324356e-05,0.3625811000001704
scientific_proxy_removed,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,59,61,104,0.9274341780341369,0.00194144681118868,0.927462481776826,2.6175357980499037,3.298610543021328,0.9275015979762417,-3.911619941565636e-05,1.1708909000003587
scientific_proxy_removed,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,59,61,104,0.9274313755890466,0.0019414617418055027,0.9274596822884645,2.617591989487392,3.298674195135121,0.9275015979762417,-4.191568777711652e-05,1.281296599999905
scientific_proxy_removed,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,59,61,104,0.9274284516489673,0.0019416698974625884,0.927456758227475,2.617656652317337,3.298740678351876,0.9275015979762417,-4.483974876667851e-05,1.416546400000243
scientific_proxy_removed,ridge,ridge_a3,3.0,,59,61,104,0.9274266013609079,0.001928067158529338,0.9274545324041739,2.617868406387853,3.298791285116658,0.9275015979762417,-4.7065572067794825e-05,0.031433500000503045
scientific_proxy_removed,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,59,61,104,0.9274251524203103,0.0019418035990521275,0.9274534620995594,2.6177293381970532,3.29881561950052,0.9275015979762417,-4.8135876682287027e-05,1.5797695000001113
scientific_proxy_removed,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,59,61,104,0.9274213339714412,0.0019418934770510593,0.9274496332764273,2.6178168454676465,3.2989026699323536,0.9275015979762417,-5.196469981438856e-05,1.8077712000001611
scientific_proxy_removed,ridge,ridge_a10,10.0,,59,61,104,0.9274131894407207,0.0018474351407009614,0.9274397285060809,2.619114488705025,3.299127849760362,0.9275015979762417,-6.186947016073585e-05,0.032570899999882386
scientific_proxy_removed,ridge,ridge_a1,1.0,,59,61,104,0.9274103041355033,0.001954442935111426,0.9274390011449403,2.6179150045468327,3.2991443853337055,0.9275015979762417,-6.259683130138693e-05,0.03113379999990684
scientific_proxy_removed,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,59,61,104,0.927409350985665,0.001959514396184939,0.9274382713326649,2.617867459510761,3.2991609765469914,0.9275015979762417,-6.332664357677764e-05,1.61143479999987
scientific_proxy_removed,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,59,61,104,0.9274085424553412,0.0019595211640273573,0.927437446875211,2.617886355600711,3.2991797192794365,0.9275015979762417,-6.415110103064059e-05,1.674163000000135
