fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
1,spline_k4_d2_a10p0,4,2,10.0,208,0.77932755746601,0.5993265035973167,0.746853830129411,0.10153599999830476,0.015438300000823801
2,spline_k3_d2_a0p3,3,2,0.3,172,0.7877657049433491,0.5773034623745698,0.7228385357069136,0.10609340000155498,0.012239200001204154
2,spline_k3_d2_a1p0,3,2,1.0,172,0.7876538138889004,0.577436575320096,0.7230290527691109,0.10609340000155498,0.013317900000402005
2,spline_k3_d2_a3p0,3,2,3.0,172,0.7874668012274484,0.5775585350243156,0.7233473674797518,0.10609340000155498,0.013724200001888676
2,spline_k3_d2_a10p0,3,2,10.0,172,0.7864984214088107,0.578570221684729,0.7249934136114592,0.10609340000155498,0.012967200000275625
2,spline_k4_d2_a0p3,4,2,0.3,208,0.7891979319415643,0.5733735218875804,0.7203954306280191,0.09970539999994799,0.013864299999113427
2,spline_k4_d2_a1p0,4,2,1.0,208,0.7892763543104808,0.5733358723758097,0.7202614177788137,0.09970539999994799,0.013282100000651553
2,spline_k4_d2_a3p0,4,2,3.0,208,0.7892852951503319,0.5733327813172658,0.7202461375517751,0.09970539999994799,0.01317669999843929
2,spline_k4_d2_a10p0,4,2,10.0,208,0.7883262194247911,0.5744787760765958,0.7218833900497024,0.09970539999994799,0.01765480000176467
3,spline_k3_d2_a0p3,3,2,0.3,172,0.798646368202178,0.5729497795515008,0.7170659441603772,0.14183109999794397,0.015778400000272086
3,spline_k3_d2_a1p0,3,2,1.0,172,0.7989145281937435,0.5726525791943982,0.7165882958054729,0.14183109999794397,0.013579599999502534
3,spline_k3_d2_a3p0,3,2,3.0,172,0.79938518950607,0.572189087845837,0.7157491800553012,0.14183109999794397,0.015316299999540206
3,spline_k3_d2_a10p0,3,2,10.0,172,0.8000483871341001,0.5717518735449302,0.7145651296054335,0.14183109999794397,0.014827099999820348
3,spline_k4_d2_a0p3,4,2,0.3,208,0.7977677841029952,0.5740461737664583,0.718628659939559,0.11832720000165864,0.014396399998076959
3,spline_k4_d2_a1p0,4,2,1.0,208,0.7980761140155586,0.573665481632904,0.7180806284838028,0.11832720000165864,0.015007699999841861
3,spline_k4_d2_a3p0,4,2,3.0,208,0.7986771174926898,0.5728183375455334,0.7170111894715686,0.11832720000165864,0.01338450000184821
3,spline_k4_d2_a10p0,4,2,10.0,208,0.7993433219710634,0.5718205139559654,0.7158238632017252,0.11832720000165864,0.014673000001494074
4,spline_k3_d2_a0p3,3,2,0.3,172,0.787732907512695,0.5815906315424132,0.7321494801958812,0.10232990000076825,0.013822299999446841
4,spline_k3_d2_a1p0,3,2,1.0,172,0.7876055959520659,0.5817492836960816,0.7323690081493593,0.10232990000076825,0.013111500000377418
4,spline_k3_d2_a3p0,3,2,3.0,172,0.7872969630655321,0.5821272617387883,0.7329009221344027,0.10232990000076825,0.013448300000163727
4,spline_k3_d2_a10p0,3,2,10.0,172,0.7860646595944623,0.5835369217242412,0.7350209012868437,0.10232990000076825,0.013351099998544669
4,spline_k4_d2_a0p3,4,2,0.3,208,0.7873362734042032,0.5803328865430177,0.7328331941058234,0.11490859999685199,0.016076200001407415
4,spline_k4_d2_a1p0,4,2,1.0,208,0.7872681556957475,0.5805722425784168,0.7329505505585562,0.11490859999685199,0.0177828000014415
4,spline_k4_d2_a3p0,4,2,3.0,208,0.7869218183300496,0.5814591202787653,0.7335469467599649,0.11490859999685199,0.017571600001247134
4,spline_k4_d2_a10p0,4,2,10.0,208,0.7851864825580616,0.5843769149121308,0.7365279394183281,0.11490859999685199,0.017963400001463015
