contract,fold,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,3,elastic_a0p0001_l1_0p1,0.0001,0.1,62,64,111,0.6118140425377332,0.595629090565365,0.5828566223238141,0.5665214874829287,0.715536766794865,1.0349730999987514
competition,3,elastic_a0p0001_l1_0p3,0.0001,0.3,62,64,111,0.6119403670061458,0.5957606819822978,0.5829923701900721,0.5664176863842962,0.7154203314178578,0.39214329999958863
competition,3,elastic_a0p0001_l1_0p5,0.0001,0.5,62,64,111,0.6120640267827746,0.595889497606291,0.5831252545871348,0.5663137016390779,0.7153063337743519,0.25821609999911743
competition,3,elastic_a0p0001_l1_0p7,0.0001,0.7,62,64,111,0.6121864318020309,0.5960170061572947,0.5832567906259727,0.566212717606384,0.7151934749530604,0.217254099999991
competition,3,elastic_a0p0001_l1_0p9,0.0001,0.9,62,64,111,0.6122992529896061,0.5961345312901499,0.5833780279102017,0.5661302544327256,0.7150894367590793,0.18097210000269115
competition,3,elastic_a0p0003_l1_0p1,0.0003,0.1,62,64,111,0.6119778351360194,0.5957997123012997,0.5830326333215693,0.5663850883051345,0.7153857927713747,0.31725530000039726
competition,3,elastic_a0p0003_l1_0p3,0.0003,0.3,62,64,111,0.6123174801125024,0.5961535183712647,0.5833976147176689,0.5661187743593059,0.7150726271754724,0.17910610000035376
competition,3,elastic_a0p0003_l1_0p5,0.0003,0.5,62,64,111,0.6125976223275288,0.5964453407828785,0.5836986546382517,0.5658992590623112,0.7148142221391033,0.07637509999767644
competition,3,elastic_a0p0003_l1_0p7,0.0003,0.7,62,64,111,0.6128625866967945,0.5967213525264979,0.5839833844947409,0.5657022983391858,0.7145697312600392,0.07101320000219857
competition,3,elastic_a0p0003_l1_0p9,0.0003,0.9,62,64,111,0.6131546372642379,0.5970255797951247,0.5842972210924169,0.5654878305933642,0.7143001501482619,0.059987399999954505
competition,3,elastic_a0p001_l1_0p1,0.001,0.1,62,64,111,0.6124007941110099,0.5962403060478858,0.5834871436717102,0.566047444351448,0.7149957875479199,0.10699340000064694
competition,3,elastic_a0p001_l1_0p3,0.001,0.3,62,64,111,0.6132832545469817,0.5971595596225562,0.584435432809559,0.5653864145003697,0.7141813960015422,0.05522420000124839
competition,3,elastic_a0p001_l1_0p5,0.001,0.5,62,64,111,0.6140175099116044,0.5979244288916322,0.5852244612558168,0.5647665255472971,0.7135030691921045,0.03591009999945527
competition,3,elastic_a0p001_l1_0p7,0.001,0.7,62,64,111,0.6146022945770144,0.5985335954584013,0.5858528689708643,0.5643107627824991,0.712962366152906,0.028686099998594727
competition,3,elastic_a0p001_l1_0p9,0.001,0.9,62,64,111,0.6151444443636129,0.5990983495357767,0.5864354613826728,0.5639168778335418,0.7124607175683203,0.021451500000694068
