fold,repeat,subsample_seed,training_fraction,training_rows,validation_rows,engineered_feature_count,transformed_width,train_r2,train_adjusted_r2_raw,validation_r2,validation_adjusted_r2_raw,validation_mae,validation_rmse,generalization_gap_r2,transform_seconds,fit_seconds
0,2,2048,1.0,6400,1600,60,103,0.6281195416693485,0.6245996130528728,0.6154278025467421,0.6004347344199095,0.576430202619688,0.7181075032947203,0.01269173912260635,0.10546289999911096,0.013093800000206102
0,3,2059,0.2,1280,1600,60,103,0.6405755125905177,0.6228843975416507,0.6068975031204326,0.5915718697138217,0.5830685768011991,0.7260280899377434,0.033678009470085146,0.04302619999725721,0.003266499999881489
0,3,2059,0.4,2560,1600,60,103,0.6361421873924201,0.6274061054570641,0.611271192755201,0.5961160735643707,0.5795471958230684,0.7219778695311118,0.02487099463721909,0.06214620000173454,0.006874799997603986
0,3,2059,0.6,3840,1600,60,103,0.6300461240169359,0.6241722863458632,0.615478975854085,0.6004879027879675,0.576486969070465,0.7180597240236667,0.014567148162850985,0.0716104000021005,0.00839320000159205
0,3,2059,0.8,5120,1600,60,103,0.6236925939597326,0.6192295687843193,0.6152967894212507,0.6002986135702273,0.5766959167707779,0.7182298125746036,0.008395804538481988,0.08037980000153766,0.011980799998127623
0,3,2059,1.0,6400,1600,60,103,0.6281195416693485,0.6245996130528728,0.6154278025467421,0.6004347344199095,0.576430202619688,0.7181075032947203,0.01269173912260635,0.10044249999918975,0.012553699998534285
0,4,2070,0.2,1280,1600,60,103,0.6312767774998587,0.6131279724547327,0.6075636146139323,0.5922639504663273,0.58159867268044,0.7254127024696104,0.023713162885926398,0.04322129999854951,0.004620100000465754
0,4,2070,0.4,2560,1600,60,103,0.6246030912946691,0.6155899602333166,0.6136247074824818,0.5985613432517793,0.5759392300539207,0.7197889846144435,0.010978383812187298,0.057490499999403255,0.008946400001150323
0,4,2070,0.6,3840,1600,60,103,0.6257909692959038,0.6198495716133832,0.6147395899699148,0.5997196909434008,0.5767750881235338,0.7187497620332209,0.011051379325988986,0.07059480000316398,0.007680999999138294
0,4,2070,0.8,5120,1600,60,103,0.6261901822309421,0.6217567785807854,0.6149213481146801,0.5999085351756813,0.5766055642830284,0.7185801961607575,0.011268834116262005,0.08902790000138339,0.010675699999410426
