contract,fold,model,raw_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
competition,4,elastic_net_fixed,62,1054,0.6269787291923254,0.611931677279459,-0.09442387526875518,0.5620629796278963,0.6942177153255992,0.15957689999959257,0.2458848999995098
competition,4,pls_8,62,1054,0.6270515446284148,0.6120074299680125,-0.09421023878745816,0.5612693503749538,0.6941499548025875,0.15957689999959257,0.21186679999846092
scientific_proxy_removed,0,dummy_mean,58,1056,-0.00036351583219906836,-0.00036351583219906836,-0.00036351583219906836,0.9274524609375001,1.1581890237337193,0.17600140000104147,0.0006809999995311955
scientific_proxy_removed,0,ordinary_least_squares,58,1056,0.5112378536342899,0.49284187408256297,-0.43928300559626243,0.6424081085935286,0.8095604894684569,0.17600140000104147,1.2844826000000467
scientific_proxy_removed,0,ridge_fixed,58,1056,0.5843932439729951,0.568750679502154,-0.22385856885300326,0.5959666877563043,0.746520643974609,0.17600140000104147,0.12692059999972116
scientific_proxy_removed,0,elastic_net_fixed,58,1056,0.6061786108766833,0.5913560018116915,-0.1597060795730818,0.5810710314777672,0.726691654224513,0.17600140000104147,0.25074900000072375
scientific_proxy_removed,0,pls_8,58,1056,0.6078919319675333,0.5931338087060907,-0.1546607749243356,0.5802374039004742,0.7251091941539153,0.17600140000104147,0.20247510000081093
scientific_proxy_removed,1,dummy_mean,58,1060,-0.0003971141165832748,-0.0003971141165832748,-0.0003971141165832748,0.925468359375,1.1426365978627635,0.17216149999876507,0.0009543000014673453
scientific_proxy_removed,1,ordinary_least_squares,58,1060,0.3039699230165467,0.2777728143435809,-1.0648461838525822,0.6495116410311348,0.9530944012824737,0.17216149999876507,1.0107391000001371
scientific_proxy_removed,1,ridge_fixed,58,1060,0.6040707456700474,0.5891688009905294,-0.17456563575805983,0.5643166069216798,0.7188374766041203,0.17216149999876507,0.09265830000003916
scientific_proxy_removed,1,elastic_net_fixed,58,1060,0.6211749475737681,0.6069167690917945,-0.12382422788412772,0.5504697642513942,0.7031391198012108,0.17216149999876507,0.20645800000056624
scientific_proxy_removed,1,pls_8,58,1060,0.6230206230085061,0.6088319118693065,-0.11834883823636111,0.5510670457970932,0.7014241445526701,0.17216149999876507,0.19282940000084636
scientific_proxy_removed,2,dummy_mean,58,1061,-0.00597889816617192,-0.00597889816617192,-0.00597889816617192,0.9204303515625,1.1394485615481125,0.16330939999897964,0.0005368000001908513
scientific_proxy_removed,2,ordinary_least_squares,58,1061,0.32691492057001925,0.3015814133624015,-1.00048892566643,0.653317791206145,0.9320415442816581,0.16330939999897964,1.136248799999521
scientific_proxy_removed,2,ridge_fixed,58,1061,0.5919250663239679,0.5765659838105286,-0.21284724711519587,0.5792775873163714,0.7257219325527025,0.16330939999897964,0.10244570000031672
scientific_proxy_removed,2,elastic_net_fixed,58,1061,0.606943517705907,0.592149698125727,-0.1682106230264957,0.5667816721095861,0.7122423127317957,0.16330939999897964,0.24271609999959765
scientific_proxy_removed,2,pls_8,58,1061,0.6115377193405127,0.5969168158504088,-0.15455610924632013,0.5638810654621245,0.7080675911730262,0.16330939999897964,0.1936848999994254
scientific_proxy_removed,3,dummy_mean,58,1056,-0.0011643164373302817,-0.0011643164373302817,-0.0011643164373302817,0.9242746875000001,1.149118257417943,0.13234229999943636,0.0006243999996513594
scientific_proxy_removed,3,ordinary_least_squares,58,1056,0.42701412450304876,0.4054481408698085,-0.6873009482866024,0.6430130258941505,0.8693286687672578,0.13234229999943636,1.0466682000005676
scientific_proxy_removed,3,ridge_fixed,58,1056,0.6057095680404359,0.5908693051892646,-0.16108729411297062,0.5717612283983665,0.721140958885964,0.13234229999943636,0.10206550000111747
scientific_proxy_removed,3,elastic_net_fixed,58,1056,0.6165711337992793,0.6021396774464942,-0.12910268334245378,0.5648408764927805,0.7111389178196565,0.13234229999943636,0.20208379999894532
scientific_proxy_removed,3,pls_8,58,1056,0.6143814427065709,0.5998675709849494,-0.13555077921214198,0.5652413326876484,0.7131666181741495,0.13234229999943636,0.2087042000002839
scientific_proxy_removed,4,dummy_mean,58,1046,-0.0018845450197191305,-0.0018845450197191305,-0.0018845450197191305,0.9147795703124999,1.1377261283648463,0.1324012999994011,0.0004960000005667098
scientific_proxy_removed,4,ordinary_least_squares,58,1046,0.5459394591205939,0.5288495750381763,-0.31291646449578714,0.6142130452898814,0.7659241696080862,0.1324012999994011,2.5556225999989692
scientific_proxy_removed,4,ridge_fixed,58,1046,0.6100455050207794,0.5953684377211073,-0.1275537748133342,0.5735300925938688,0.7097997772457154,0.1324012999994011,0.09978380000029574
scientific_proxy_removed,4,elastic_net_fixed,58,1046,0.6269658151312448,0.612925592728657,-0.07862868283027025,0.5618883066438991,0.6942297321904377,0.1324012999994011,0.19549730000107957
scientific_proxy_removed,4,pls_8,58,1046,0.6294154941058584,0.6154674724693494,-0.07154543386027568,0.5598869297286394,0.6919465082436769,0.1324012999994011,0.194771700000274
