contract,model,penalty,n_knots,degree,alpha,l1_ratio,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_control_adjusted_r2,total_fit_seconds
scientific_proxy_removed,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.604471654553391,0.009694095917120844,0.6168484039239877,0.6129973891542669,0.6197224001440853,0.562975139949828,0.7061134553571904,0.6201624354997604,-0.0033140315757727024,0.25688540000192006
scientific_proxy_removed,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6040956465324678,0.010060384903686112,0.6165118885752581,0.6135425086822766,0.6193884089759938,0.5623888454489956,0.7064234708537549,0.6201624354997604,-0.003650546924502285,0.09158680000109598
scientific_proxy_removed,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.6016490920902793,0.008859656381077677,0.6141171863990602,0.6111292641307615,0.6170116693114314,0.5647146057000483,0.7086256787713151,0.6201624354997604,-0.006045249100700145,0.05772780000188504
scientific_proxy_removed,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6013420870565351,0.008128563080841193,0.6138279682260938,0.6103927106045188,0.616724620545938,0.5648596487832144,0.7088911855902276,0.6201624354997604,-0.0063344672736666,0.06829569999536034
scientific_proxy_removed,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.601054648429779,0.008824320513718115,0.613537468375463,0.6105450573029704,0.6164362997165647,0.5652311574066605,0.7091577689425342,0.6201624354997604,-0.006624967124297387,0.062382200005231425
scientific_proxy_removed,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6009717883661053,0.008141638540390869,0.6134692405648082,0.6100307918215799,0.6163685836784614,0.5652028240215454,0.709220365109975,0.6201624354997604,-0.006693194934952129,0.06547679999493994
scientific_proxy_removed,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6007052181211882,0.008288806657403416,0.6132061558485313,0.6097653667913954,0.6161074723442294,0.5654852519730877,0.7094616826453857,0.6201624354997604,-0.006956279651229025,0.0683924000004481
scientific_proxy_removed,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6004398364912065,0.00884712060554036,0.6129463072579924,0.6090560729416287,0.6158495728617579,0.5658211266290103,0.7096999512597645,0.6201624354997604,-0.007216128241767983,0.06804859999465407
scientific_proxy_removed,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6003396165483204,0.00834556511823411,0.6128504501319956,0.609406496835419,0.6157544347540833,0.5657251023877055,0.7097878274219174,0.6201624354997604,-0.007311985367764784,0.062120500006130897
scientific_proxy_removed,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.5999407400088037,0.008636724037758566,0.6124630280689849,0.6085679363663705,0.615369918719799,0.5661437375148619,0.7101428823401482,0.6201624354997604,-0.007699407430775462,0.0685842999992019
scientific_proxy_removed,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.599615827867247,0.00863213849029917,0.6121451089145387,0.6082468218412879,0.6150543842570975,0.5663736583701077,0.7104341084132141,0.6201624354997604,-0.008017326585221696,0.07365800000115996
scientific_proxy_removed,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.5994551373641459,0.008106294177722153,0.6119989658707884,0.6076499541521065,0.6149093374232015,0.5664871922912721,0.7105679409714026,0.6201624354997604,-0.008163469628971964,0.07386549999500858
scientific_proxy_removed,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.5993131166204,0.00862646387560095,0.6118506030004409,0.6079493558804708,0.6147620874134893,0.5665784886226761,0.7107037805880694,0.6201624354997604,-0.008311832499319438,0.07243600000583683
scientific_proxy_removed,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.5988765226272491,0.008072535310955026,0.6114356481650707,0.6070803223516108,0.614350245128453,0.5668932251285905,0.7110835714567015,0.6201624354997604,-0.008726787334689678,0.07668570000532782
