contract,fold,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9799825617834834,1.3633495573156589,1.726663623592995,0.07783259999996517,0.042142900000271766
competition_proxy_inclusive,2,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9818920682871394,1.313503105976501,1.6536577201985971,0.08437929999990956,0.009666200000083336
competition_proxy_inclusive,2,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.9819034074198836,1.3128335383244476,1.6531398813564362,0.08437929999990956,0.009316500000295491
competition_proxy_inclusive,2,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9819222539200698,1.3118545090708595,1.65227883481095,0.08437929999990956,0.008553799999845069
competition_proxy_inclusive,2,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9818521524324658,1.3136132925317168,1.6554793204490474,0.08437929999990956,0.08570640000016283
competition_proxy_inclusive,2,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.9814606185164721,1.3261373975585087,1.6732422386843735,0.08437929999990956,0.03960090000009586
competition_proxy_inclusive,2,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9819074674195302,1.3147451252992846,1.6529544286587963,0.11739709999983461,0.012156300000242481
competition_proxy_inclusive,2,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.981918240773616,1.31417353657246,1.6524622224123973,0.11739709999983461,0.013576800000009825
competition_proxy_inclusive,2,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.9819305841368453,1.313125146326514,1.6518981062963185,0.11739709999983461,0.011645099999896047
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9819190543119392,1.3128203780096144,1.6524250480299119,0.11739709999983461,0.3767268999999942
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.98136855611154,1.329334637030368,1.677391566498853,0.11739709999983461,0.04152399999975387
competition_proxy_inclusive,3,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9800688039955786,1.407038715576237,1.770570071236069,0.07226129999980913,0.008798800000022311
competition_proxy_inclusive,3,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.980070470174763,1.4070960966732984,1.7704960629163111,0.07226129999980913,0.007922700000108307
competition_proxy_inclusive,3,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9800576005192619,1.4078208621731532,1.7710676267533496,0.07226129999980913,0.007980699999734497
competition_proxy_inclusive,3,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9801552698908783,1.4036036560448948,1.7667253364230866,0.07226129999980913,0.219708300000093
competition_proxy_inclusive,3,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.9797875587412902,1.4205262748193264,1.7830183971075604,0.07226129999980913,0.024429199999758566
competition_proxy_inclusive,3,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9800227979367352,1.4157452992628479,1.7726123470586823,0.0758203999998841,0.01022030000012819
competition_proxy_inclusive,3,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.9800244345370985,1.4157825957176573,1.7725397363542217,0.0758203999998841,0.009682400000201596
competition_proxy_inclusive,3,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.9800028357158977,1.4161536608303793,1.7734977674430523,0.0758203999998841,0.012053199999627395
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9800946758183554,1.410068347895683,1.7694205478946836,0.0758203999998841,0.13647179999998116
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9796207521787331,1.4271703492218892,1.790360609253966,0.0758203999998841,0.04318520000015269
competition_proxy_inclusive,4,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9804565678538718,1.3315705509854099,1.6809921353135613,0.08306649999985893,0.00889599999982238
competition_proxy_inclusive,4,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.9804541519172817,1.3316010419103212,1.681096033259312,0.08306649999985893,0.010195400000156951
competition_proxy_inclusive,4,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9804282235404308,1.3323999614716262,1.682210685473847,0.08306649999985893,0.008449000000382512
competition_proxy_inclusive,4,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9804155768258073,1.3305646189220044,1.6827540955955174,0.08306649999985893,0.20389639999984865
competition_proxy_inclusive,4,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.9798474340796202,1.350063174060116,1.7069878862485577,0.08306649999985893,0.032806600000185426
competition_proxy_inclusive,4,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9805952312848799,1.327054486226912,1.6750180806029904,0.07670850000022256,0.009085700000014185
competition_proxy_inclusive,4,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.9806020498331389,1.3266573248562878,1.6747237664766372,0.07670850000022256,0.00890079999999216
competition_proxy_inclusive,4,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.9805810445787357,1.3272346153091934,1.6756302664009208,0.07670850000022256,0.008426800000052026
competition_proxy_inclusive,4,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.980611985669456,1.3243955408061323,1.6742948058805212,0.07670850000022256,0.14551269999992655
