fold,model,penalty,n_knots,degree,alpha,l1_ratio,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
1,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6304694639702997,0.6160628153921437,0.5952881321154172,0.5451690606335591,0.6944597521240524,0.11219109999728971,0.022610300002270378
1,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.62113344443068,0.6063628184825584,0.5850632723593543,0.5534040750083019,0.7031776358445222,0.11093190000246977,0.01300479999918025
1,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.6213785519156205,0.606617481814865,0.5853317154199159,0.5530969530963481,0.7029501388744543,0.11093190000246977,0.012146700002631405
1,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.6257356930879412,0.6111444920387381,0.5901036803065877,0.5491891208848397,0.6988936916813574,0.11093190000246977,0.0730455000011716
1,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6266180593301538,0.6120612585243119,0.5910700526499424,0.5484316035240058,0.6980693489779046,0.11093190000246977,0.01974279999922146
1,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.6217216192021242,0.6069739240443123,0.583137745764436,0.5529984324954392,0.7026315966325849,0.11564199999702396,0.015207000000373228
1,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.6221202447233358,0.6073880905215165,0.5835770305393618,0.5524713965177809,0.702261286395919,0.11564199999702396,0.014786100000492297
1,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6270592151997867,0.6125196134531896,0.5890197691967325,0.5480096431361359,0.6976568378533651,0.11564199999702396,0.06401290000212612
1,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.6292297454981346,0.6147747648158006,0.5914116905937403,0.546445768695358,0.6956236799077106,0.11564199999702396,0.031026500000734814
2,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.6100846110067231,0.594883231318876,0.5781632564274358,0.5644267071207508,0.7093906778302992,0.09903490000215243,0.011191599998710444
2,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.6100903678713006,0.5948892126226184,0.5781694845914815,0.5645932728175325,0.7093854409491013,0.09903490000215243,0.011375699999916833
2,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.6122704506662052,0.5971542888988057,0.5805280450712194,0.5616333598613046,0.7073994848762988,0.09903490000215243,0.030337499996676343
2,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6090662209845865,0.5938251379820363,0.5770614934738524,0.5641943158883246,0.7103164752013263,0.09903490000215243,0.01462080000055721
2,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6096045739799953,0.5943844793983188,0.5750563061906144,0.5648317623718294,0.7098272200333032,0.1278031000001647,0.014980100000684615
2,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6097415058723388,0.5945267497659972,0.5752053559495369,0.5648148841749208,0.7097027225333533,0.1278031000001647,0.014684399997349828
2,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6133373742732303,0.5982628079680932,0.5791194427929852,0.5612245851283987,0.7064255313354343,0.1278031000001647,0.13051410000116448
2,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.6132719206891374,0.5981948025873494,0.5790481968563177,0.5616874023772468,0.7064853200546356,0.1278031000001647,0.035466000001179054
